Participant,Event Duration [ms],Visual Intake Position X [px],Visual Intake Position Y [px],Visual Intake Average Pupil Size X [px],Visual Intake Average Pupil Size Y [px],Visual Intake Average Pupil Diameter [mm],Visual Intake Dispersion X [px],Visual Intake Dispersion Y [px],Label
calvin (1),99.3,-146.7,2835.7,79.8,63.7,4.6,287.6,179.9,N
calvin (1),82.8,-642.6,3264.3,81.2,64.6,4.8,379.2,301.9,N
calvin (1),66.6,110.8,2694,83.5,64.5,4.8,222.1,78.9,N
calvin (1),83,65.7,2785.8,83,65.8,4.8,239,121.9,N
calvin (1),182.5,-373.5,3073.7,83.3,66,4.8,71.6,44.2,N
calvin (1),99.3,-1350.3,3886.6,82.4,65,4.7,241.3,203.3,N
calvin (1),83.1,175.2,181.3,81.4,80.2,4.4,10.5,18.1,N
calvin (1),116.2,346.8,1096.1,78.9,76,4.4,36.3,89.1,N
calvin (1),99.5,355.3,2827,78.7,72.3,4.5,288.5,64.7,N
calvin (1),199.1,268.1,128.9,76.3,71.5,4.2,19.5,27.1,N
calvin (1),66.8,1020.8,3340.1,70.5,66.5,4,275.5,426,N
calvin (1),182.7,595.3,2887.1,70,64.7,4,197.5,91.4,N
calvin (1),82.8,426.5,515.2,68.3,65.3,3.8,14.5,123.6,N
calvin (1),132.8,435.3,487.7,68.3,64.5,3.8,10.1,162,N
calvin (1),166.3,289.1,163,69.7,66.5,3.9,59,75.2,N
calvin (1),199,-226.6,-657,70.3,67.3,3.9,63.5,123.9,N
calvin (1),663.7,253.7,110.9,67.9,64.9,3.8,43.8,55.3,N
calvin (1),82.9,-41.4,-349.7,67.2,64.4,3.7,55,96.4,N
calvin (1),182.5,-23.4,-316.4,67.1,63.7,3.7,13.5,24.5,N
calvin (1),481.3,246.9,101.4,68.1,64.6,3.8,26.7,34.5,N
calvin (1),879.5,318.3,197.3,69.3,65.8,3.8,37.2,50.7,N
calvin (1),116.2,389.1,379.2,76.7,76.6,4.4,8,33.3,N
calvin (1),331.9,162.2,52.1,75,73,4.2,92,94.6,N
calvin (1),116.6,380.8,307.5,72,70.6,4,9.2,24.7,N
calvin (1),99.7,364,364.7,72.8,71.5,4,28.8,52.2,N
calvin (1),149.7,146.2,-12.5,75.1,71.2,4.2,96.9,133.9,N
calvin (1),83,-405.7,-1018.3,73.2,69,4,74.5,156.6,N
calvin (1),348.8,245.3,98,71.8,67.4,4,27.8,34.8,N
calvin (1),215.4,-9.8,-283.3,71.2,66.3,4,35.5,59.8,N
calvin (1),249.2,284.9,141.1,69.7,65.1,3.9,29.2,37.4,N
calvin (1),215.7,-18.9,-312.2,68.8,63.2,3.8,21.2,36.8,N
calvin (1),564,379.5,246.6,70.7,65.2,3.9,19.9,31.8,N
calvin (1),99.6,290.4,112.3,73.2,67,4.1,7.9,10.6,N
calvin (1),132.9,411.7,261.9,72.9,67.4,4.2,17.8,31.8,N
calvin (1),398.6,436.8,379.6,73.4,67.3,4.2,32.3,151.6,N
calvin (1),564,300.5,160.5,76.1,71,4.2,50.4,61.2,N
calvin (1),249,403.4,293.8,76.4,71.7,4.2,8.1,14.6,N
calvin (1),282.2,402.5,265.7,76.4,71.4,4.2,67.2,88.8,N
calvin (1),630.8,370.9,245.2,75.7,71.1,4.2,50.6,47.3,N
calvin (1),531.1,368.3,261.4,74.8,70.5,4.1,28.4,35.6,N
calvin (1),697.4,404.9,307.6,76.6,72.4,4.3,39.7,80.2,N
calvin (1),132.7,-113,-482.4,78.1,73.3,4.4,125.4,241.3,N
calvin (1),166.1,428.8,355.2,78.7,74.2,4.4,21.7,41.8,N
calvin (1),166,421.1,950.6,78.8,75.2,4.5,52.1,275.9,N
calvin (1),497.6,374.3,245.6,79.8,75.1,4.5,37.7,47,N
calvin (1),581.1,291.7,138.5,77.2,72.7,4.3,141,178.7,N
calvin (1),232,268.3,97.5,74.1,69.1,4.1,19.1,25.2,N
calvin (1),398.2,18.5,-247.6,70.6,66.7,4,98.3,162.4,N
calvin (1),232.6,172.8,-21.5,72,67.4,4.1,25.3,38.9,N
calvin (1),564.1,224.6,38.3,75.4,69.8,4.2,45.3,61.5,N
calvin (1),232.1,118.3,-99.7,75.2,69.6,4.2,34.4,49.4,N
calvin (1),597.5,231.2,49.6,74.9,69.7,4.2,47.1,66.6,N
calvin (1),282.1,136.4,-68.5,74.6,69.4,4.2,16.7,21.3,N
calvin (1),198.9,257.4,88.8,73.5,68.6,4.1,30.9,44.2,N
calvin (1),132.8,645.7,458.9,75.5,61.8,4.3,27.5,52.6,N
calvin (1),116.2,595.1,339,75.9,61.9,4.3,10.9,20.1,N
calvin (1),66.5,1982.3,1501,74,57,4.5,46.6,52.4,N
calvin (1),99.3,2122.6,1354,74.8,58,4.5,185.3,154.9,N
calvin (1),83.2,2846.8,612.4,74.6,58.4,4.4,357.2,288.9,N
calvin (1),116.6,2595.5,833.3,75,59,4.4,92.7,132.5,N
calvin (1),132.7,2283.7,1142.4,77.3,61.1,4.6,34.6,32.1,N
calvin (1),99.8,354.9,334.3,82.3,81.3,4.5,37,74.4,N
calvin (1),365.1,221.7,149.7,81.8,79.8,4.5,64.9,88.4,N
calvin (1),215.7,118.6,-3.9,76.7,73.8,4.2,107.4,163,N
calvin (1),431.5,126.8,-12.9,73.9,71,4.1,130.1,180.8,N
calvin (1),597.5,76.6,-82.7,74.7,72.1,4.2,151.5,218.5,N
calvin (1),149.6,153.4,29.3,73,69.8,4,17.4,27,N
calvin (1),215.9,266.7,169.8,70.9,68.3,3.9,40.7,51.2,N
calvin (1),414.7,18.2,-178.3,69.7,66.8,3.9,129.3,205.1,N
calvin (1),83,-186.6,-504.3,68.8,66,3.8,7.4,15.2,N
calvin (1),66.4,-27.1,-221.4,66.8,64,3.7,38.8,60.7,N
calvin (1),99.5,-266.5,-639.4,65.5,62.8,3.6,19.7,37,N
calvin (1),348.3,221.1,134.3,64,60.9,3.6,35.3,45.8,N
calvin (1),265.5,294,226.6,64.1,61.4,3.6,22.6,28.8,N
calvin (1),298.9,87.1,-41.5,64.8,60.9,3.6,34.7,50,N
calvin (1),265.4,204.4,121.5,63.8,60,3.5,14.5,21.2,N
calvin (1),248.8,1.8,-165.2,65.3,61.9,3.6,48.1,83.7,N
calvin (1),398.3,351.8,348.2,64.6,62.6,3.5,206.9,293.3,N
calvin (1),116.1,212.1,250.9,72.7,74.3,4.1,60.9,54.5,N
calvin (1),82.6,-43.4,-109.4,75,74.6,4.2,40.9,69.2,N
calvin (1),82.8,-172.7,-389.9,73.4,71.4,4.2,18.6,30.7,N
calvin (1),115.9,103.4,14.1,74.6,72.7,4.2,10.1,19.9,N
calvin (1),365.2,200.8,107.1,74.1,71.7,4.2,61,59.2,N
calvin (1),132.7,61.3,-102,73.6,71,4.2,36.6,52.5,N
calvin (1),149.4,247.9,147.3,73.6,70.3,4.2,18.1,28.7,N
calvin (1),315.4,278.2,176.6,74,70.7,4.2,37.1,52,N
calvin (1),331.9,102.7,-51.7,74.8,72.2,4.2,16.7,27.1,N
calvin (1),165.6,213.9,101.7,75.5,72.3,4.2,12.2,17.8,N
calvin (1),348.6,66.3,-102.8,74,71.9,4.2,117.2,185.2,N
calvin (1),116.2,445.1,730.8,74.6,76.3,4.2,23.2,232.4,N
calvin (1),315.6,471.4,613.6,75.2,75.7,4.3,23.6,98.5,N
calvin (1),332,478.1,598,73.9,74.7,4.2,32.4,95.6,N
calvin (1),82.7,-96.8,8688,71,58,4.5,56.3,178.1,N
calvin (1),83,457.1,6249.5,72.6,58.2,4.5,26.8,112.1,N
calvin (1),82.8,1235.8,2990.6,73,58,4.4,28.9,74.8,N
calvin (1),166,1187.2,3141,72,56.8,4.4,43,149.2,N
calvin (1),116.2,1913.1,1506.5,73.1,56.3,4.3,52,44,N
calvin (1),116.4,1589.5,2009.2,69.6,53.9,4.2,15.5,52.8,N
calvin (1),82.9,1599.8,1964.5,68.8,53.5,4.2,12.4,19.4,N
calvin (1),132.6,1649.2,1965.5,71,55.4,4.3,81.1,75.2,N
calvin (1),66.5,1717.5,1877.2,72.3,57,4.3,50.1,90.6,N
calvin (1),249.4,1685.1,1948.2,71.9,56.2,4.3,108,123.8,N
calvin (1),149.4,1589.6,2147.7,70.3,55.4,4.2,58.3,81.4,N
calvin (1),99.7,1400.3,2495.4,68.3,51.3,4.1,29,74.6,N
calvin (1),99.6,1604.9,2096.8,68.3,52.8,4.1,74.1,90.4,N
calvin (1),82.8,1747.1,2317,72.8,61,4.4,24.4,109.6,N
calvin (1),149.2,55.7,36.8,81.3,82.8,4.6,75.4,99.9,N
calvin (1),116.1,9.2,-52.5,80.1,81.4,4.5,85.2,119,N
calvin (1),365.2,335.4,240.8,83.5,79.1,4.7,92.4,210,N
calvin (1),614.5,264,111,80.7,75.5,4.6,40.2,54.7,N
calvin (1),1111.9,359.6,227.2,75.1,69.5,4.2,22,33.2,N
calvin (1),199.4,299.6,182,81.3,77.8,4.6,125.3,195.3,N
calvin (1),1260.9,243.4,79.5,80.7,75.2,4.5,40,54.6,N
calvin (1),796.5,271.9,84.7,79.1,72.2,4.3,74.4,89.6,N
calvin (1),165.7,175.6,-48.2,77.9,70.6,4.3,19.6,29.2,N
calvin (1),597.2,239.4,34.3,78.3,70.4,4.3,61,83.4,N
calvin (1),82.9,213.3,-2.9,77.6,70,4.3,29.6,43.6,N
calvin (1),166.4,216.1,2.9,77.1,69.6,4.3,64.3,92.7,N
calvin (1),514.3,235.9,48.3,84.7,78.7,4.7,132.3,159.3,N
calvin (1),249,-242.3,2950.8,83.6,66.9,4.8,496.4,354.4,N
calvin (1),133,587.7,2724.5,83.3,66.6,4.7,72.7,56.7,N
calvin (1),83.1,-55,2783.9,82,66.2,4.6,66,31.5,N
calvin (1),99.7,1572.5,1499.1,80.5,64,4.7,196.6,333.3,N
calvin (1),82.8,290,110.5,81.8,76.8,4.6,51.6,56.2,N
calvin (1),132.3,12.2,-296.8,80.8,74,4.5,62.2,105.6,N
calvin (1),631.1,148.9,-94.3,77.8,70.3,4.3,187.3,301.2,N
calvin (1),132.3,418.9,73.7,75.9,60,4.2,165.9,222.5,N
calvin (1),215.7,240.2,117.1,78.6,75.5,4.4,95.4,111.8,N
calvin (1),198.9,154.1,15.7,79.3,75.1,4.4,67.8,85.1,N
calvin (1),315.5,185.7,40.5,77.8,73.1,4.2,322.1,463,N
calvin (1),1045.6,182.6,-0.9,78,71.3,4.2,105.6,162.1,N
calvin (1),132.5,300,140.8,76.4,70,4.2,29.4,38.6,N
calvin (1),249,294.8,126.5,76.3,69.7,4.2,22,29,N
calvin (1),215.5,192.2,69.6,86.2,83.5,4.7,347.2,459.8,N
calvin (1),365.6,205.3,101.4,81.1,80.8,4.5,114.4,177,N
calvin (1),149.5,79.8,-55.6,81.4,78.7,4.4,24.1,46.7,N
calvin (1),99.6,223.6,107.4,78.3,75.5,4.3,8.7,12.9,N
calvin (1),547.9,224.7,118.4,78.4,76.2,4.3,35.8,64.5,N
calvin (1),332.4,265.3,146.5,77,74.3,4.2,49.9,68.7,N
calvin (1),132.6,197.3,78.4,77.4,74.9,4.2,15.1,22.5,N
calvin (1),165.9,244,134.9,74.8,72.5,4.1,28.8,38.8,N
calvin (1),315.8,77.4,-85.3,71.8,69.4,3.9,105,145.8,N
calvin (1),464.5,155.3,19,69,66.8,3.7,42.5,54.2,N
calvin (1),149.2,240.5,113.6,67.4,64.7,3.6,28.2,38.4,N
calvin (1),232.2,302.8,177,68.4,64.7,3.7,27.9,45.8,N
calvin (1),232.3,111.6,-62.5,69.6,65.6,3.8,15,18.7,N
calvin (1),580.7,261.2,127.2,70.1,65.5,3.8,27.2,35.7,N
calvin (1),165.8,174.2,16.5,69.5,65.5,3.7,14.2,17.4,N
calvin (1),680.4,274,130.2,69.6,64.8,3.8,42.2,61.2,N
calvin (1),398.6,229.9,73.4,68.3,64.2,3.7,72.3,90.6,N
calvin (1),962.6,120.4,-71,69.3,64.9,3.8,79.5,105.8,N
calvin (1),663.9,206.5,43.7,71.8,67.4,3.9,32.6,46.3,N
calvin (1),83.3,309.2,185.8,70.6,67.6,3.9,17.8,18.8,N
calvin (1),1361,254.6,101.8,69.9,66.1,3.8,125.2,165.1,N
calvin (1),481.6,273.4,129,72,67.5,3.9,77.2,81.7,N
calvin (1),182.6,228.5,75.7,72.8,68.5,4,38.6,44.5,N
calvin (1),680.4,279.3,134.2,73.1,68.2,3.9,31.5,35.8,N
calvin (1),746.9,273.7,128.4,72.9,67.9,3.9,94.3,117.2,N
calvin (1),547,221.8,64.7,73.1,67.8,4,64.7,76.8,N
calvin (1),149.2,296.7,145,72.7,67.6,4,13,13.2,N
calvin (1),713.9,328.4,176.9,73.3,69.3,4,76.1,90,N
calvin (1),564.3,254.7,93.4,71.4,66.5,3.9,47.9,62,N
calvin (1),448.4,221.8,52.6,72.4,67,3.9,100.1,136.8,N
calvin (1),116.1,133,-68.3,73.3,68.1,4,28.2,39.3,N
calvin (1),83.2,30.4,-232.8,73,68.2,4,23.3,41.8,N
calvin (1),132.7,170.9,-20.3,73.6,68.6,4,40.6,62.8,N
calvin (1),66.3,-239.6,-774,70.5,64.3,3.9,46,88.9,N
calvin (1),83.3,20.6,-274.5,71,65,3.9,51.3,85.9,N
calvin (1),116.2,60.3,-204.5,70.6,64.7,3.9,29.6,46.8,N
calvin (1),83,-9.2,-316.1,68.2,62.6,3.7,31.1,53.2,N
calvin (1),133.2,5,-289.7,67.6,62.8,3.7,17.1,30.6,N
calvin (1),116.2,275.9,112.6,68,63.6,3.7,25,35.9,N
calvin (1),166,377.7,401.5,69.4,65.4,3.8,20.1,160.6,N
calvin (1),2340,411.1,341.2,72.8,68.7,4,59.6,148,N
calvin (1),116.1,356.9,257.8,77,72.6,4.2,6,8.9,N
calvin (1),464.3,415.9,338.7,76,71.5,4.2,27.6,50.3,N
calvin (1),232.5,233.3,91.9,77.1,71.7,4.2,44.1,47.6,N
calvin (1),349.1,413.4,332,75.8,72,4.2,45.4,122.1,N
calvin (1),249.3,141.3,-39.7,74.8,71.5,4.1,110.6,152.4,N
calvin (1),365,128.9,-44.3,75,71.6,4.1,172.5,243.3,N
calvin (1),116.3,159.5,-27.3,75.4,71.4,4.2,25.3,34.9,N
calvin (1),564.3,234.8,69.5,75.2,70.9,4.2,28.6,42.1,N
calvin (1),564.4,280.9,132.9,75,72.1,4.2,60.7,65.4,N
calvin (1),746.3,301.6,160.2,72.2,68.1,4,27.5,34.7,N
calvin (1),132.5,-78.7,-387.7,71.7,67,3.9,23.8,35.9,N
calvin (1),1161.4,245.3,95.7,70.3,66.5,3.9,34.2,49,N
calvin (1),83.2,1100.3,3553.2,66.6,57,3.7,205,368.1,N
calvin (1),82.9,408.7,196,70.8,61.4,3.9,29,41.4,N
calvin (1),182.5,305.7,24.5,72,63.1,4,7.2,13.6,N
calvin (1),182.6,571.3,563.1,76.5,70.6,4.2,21.3,125.4,N
calvin (1),331.7,499.2,410.6,78,71.2,4.2,196.1,304.4,N
calvin (1),99.4,244.5,186.8,76.8,75,4.1,138.4,222.8,N
calvin (1),182.7,199,81.7,78.3,74.5,4.2,70.8,99.2,N
calvin (1),149.9,17.8,-210,76.6,71.4,4.2,127.6,208.3,N
calvin (1),66.9,135.8,-24.1,74.8,70.3,4,54.8,77.1,N
calvin (1),199,287,178.2,73.3,69.5,4,39.4,43.1,N
calvin (1),896.5,285.9,196.9,70.8,68,3.8,102.6,128.6,N
calvin (1),995.6,266.3,165.8,65.7,62.8,3.6,26.3,35.2,N
calvin (1),199.4,184,55.4,66.3,63.7,3.6,32.7,43.6,N
calvin (1),149.4,321.1,220.5,66.4,64,3.6,37.1,46.5,N
calvin (1),414.7,289,243.1,74.6,72.7,4.1,148.4,258.2,N
calvin (1),133,58.8,-89.7,74.1,71.8,4.1,44.1,59.4,N
calvin (1),315,195.4,84.8,73.3,70.3,4,22.7,26.4,N
calvin (1),182.4,77.8,-70.1,72.6,70,4,24.7,37,N
calvin (1),597,212.4,104.4,74,71.9,4,40.2,48.8,N
calvin (1),348.4,113.1,-33.3,74.2,71,4,51,79.7,N
calvin (1),331.8,177.4,45.7,74.3,72,4.1,18,27.5,N
calvin (1),166.1,88.3,-80.9,74.6,71.5,4.1,27.6,39.2,N
calvin (1),813.3,21.2,-183.3,74.5,71.3,4.1,65.1,104.6,N
calvin (1),414.7,107.3,-57,74.3,70.8,4.1,73.2,111.2,N
calvin (1),398.4,56.9,-137.2,74.1,70,4.1,43.9,68.5,N
calvin (1),1029.2,156,-13.8,72.9,68.1,4,174.4,267.9,N
calvin (1),464.7,24.9,-231.9,72.6,67.8,4,56.4,94.9,N
calvin (1),116.1,55.7,-178.3,74.1,69,4.1,49.7,77.1,N
calvin (1),165.8,404.6,44.7,77.7,59.8,4.2,62.1,91.2,N
calvin (1),199.3,227.3,-15.4,81.4,72.6,4.5,82.2,127.9,N
calvin (1),215.3,358.5,176.7,82.8,74.6,4.6,84.8,118.4,N
calvin (1),215.4,461.3,320,83.5,75.8,4.7,40.8,49.8,N
calvin (1),199.2,496.4,354.5,83.2,75.3,4.7,44.4,57,N
calvin (1),215.9,541,428.1,83.7,76.9,4.7,46.1,83.3,N
calvin (1),514.8,411.4,252.3,83.8,76.5,4.7,50.2,57.5,N
calvin (1),199.2,400.2,230.9,82.2,74.2,4.6,91.6,117.5,N
calvin (1),249.3,447.9,505,87.3,86.1,4.8,24.3,46.5,N
calvin (1),116.1,479.2,95.9,83.7,63.3,4.5,28.1,54.1,N
calvin (1),99.8,755.4,3041.9,86.3,76.5,4.8,329.8,334,N
calvin (1),99.2,589.2,508.2,82.3,64.7,4.4,12.9,82.7,N
calvin (1),215.9,550.8,2890.7,84,71.6,4.6,233.9,88,N
calvin (1),315.6,225.7,126.1,83.3,80.5,4.5,166.9,241.7,N
calvin (1),99.4,-206.6,-437.5,85,81.8,4.6,14.4,28.6,N
calvin (1),99.5,-322.9,-618.2,84,81.8,4.5,53.4,87.4,N
calvin (1),116.1,-105.3,-266.1,82.9,80.7,4.4,156.8,228.1,N
calvin (1),149.3,382.4,14.5,78.8,60.1,4.2,68.1,113.3,N
calvin (1),116.2,354.8,348.9,79,78.3,4.3,57.4,108.2,N
calvin (1),929.6,357.2,309.5,75.8,73.8,4.1,57.9,64.4,N
calvin (1),148.9,284.2,187,71.6,68.9,3.9,9.8,7.2,N
calvin (1),796.4,341.5,238.9,72.5,68.4,3.9,40.5,60.6,N
calvin (1),299.1,274.9,155.3,70.6,66.5,3.8,18.6,26.1,N
calvin (1),564.5,325,202.2,70.7,66.4,3.8,21.3,33.3,N
calvin (1),215.9,82.6,-125.4,71,65.5,3.8,10.6,12.7,N
calvin (1),398.2,313,181.7,72.3,67.5,3.9,51.6,62.3,N
calvin (1),199.2,205.4,64.2,74.3,70.4,4,159.1,193,N
calvin (1),415.1,151.8,-12.9,75.9,72,4.1,93.6,135.4,N
calvin (1),149.5,-17.9,-275.9,75.4,70,4,85.2,141.6,N
calvin (1),116.3,30.3,-196.6,75.6,70.3,4,11.4,14.5,N
calvin (1),630.4,171,9.5,76.4,71.4,4.2,59.9,89,N
calvin (1),647.2,245,109.2,75.6,71.2,4.1,43.2,50.5,N
calvin (1),83.1,539.5,251.7,77.8,60.2,4.2,83.5,209.4,N
calvin (1),398.7,319.4,266.6,81.7,80.5,4.5,74.5,199.6,N
calvin (1),331.9,323.3,237.1,79.9,77.8,4.4,56.1,77,N
calvin (1),249.3,385.4,352.7,79,77.2,4.4,22.3,41,N
calvin (1),265.6,366.4,381.7,81.6,80.8,4.5,16.8,103.9,N
calvin (1),282.3,109.7,-27.1,81.5,77.3,4.4,36.2,63.4,N
calvin (1),414.8,243.6,138.8,81.1,77.4,4.4,47.1,50.7,N
calvin (1),132.5,241.7,132.9,80.4,76.5,4.4,16.4,24.3,N
calvin (1),215.8,337.6,241.7,78.5,74.8,4.3,25,39.2,N
calvin (1),614,384.7,303.3,75.9,72.6,4.1,62,84.8,N
calvin (1),365.1,216.4,88.9,71.4,67.7,3.9,53.9,71.5,N
calvin (1),447.7,362.1,365.9,77.1,75.9,4.2,50.8,165,N
calvin (1),232.5,181.5,97.2,77.9,75.3,4.2,42.5,49.5,N
calvin (1),99.5,454.5,144.3,79.7,62.7,4.3,55.9,59.9,N
calvin (1),116,610.8,421.6,78.9,64,4.3,14.9,75.9,N
calvin (1),381.7,495.1,344.4,84.7,75.3,4.6,42.2,52.6,N
calvin (1),149.4,432.5,108.5,82.8,66.6,4.5,17.4,25.5,N
calvin (1),249,157.1,-156.7,85.2,75.5,4.6,35.8,49.2,N
calvin (1),265.2,318.2,99.2,84.8,75.4,4.6,224.8,363.6,N
calvin (1),66.4,366,173.6,83.8,76,4.6,46.6,64.2,N
calvin (1),364.8,518.6,527.7,86.3,81.7,4.7,47.3,150.5,N
calvin (1),149.4,565.5,573.1,86.9,80,4.7,22.3,48.3,N
calvin (1),497.7,539.4,544.9,85,79.7,4.6,75.7,173.9,N
calvin (1),99.7,529.6,1034.4,82.3,78.7,4.4,53.3,130.9,N
calvin (1),116.1,562.8,923.2,83,78.4,4.5,24.2,55.4,N
calvin (1),265.2,400.7,309.2,85.1,77.8,4.5,66.8,76.4,N
calvin (1),182.4,306.5,199.5,87.3,80.3,4.7,165.6,211.7,N
calvin (1),132.6,333,239.5,86,80.3,4.6,87,112.3,N
calvin (1),115.8,287.6,187.4,85,79,4.6,89.8,125.3,N
calvin (1),132.6,290.1,190.9,85,78.8,4.6,111.9,146.1,N
calvin (1),99.4,357.8,295.1,84,78.2,4.5,47.7,46.2,N
calvin (1),83.5,201,33.6,84.6,78,4.6,5.7,6.6,N
calvin (1),199.1,-72.3,-579.3,81.9,71.3,4.4,28.3,68,N
calvin (1),216,909.8,3212.3,80.1,67.8,4.4,41.1,61.9,N
calvin (1),166.1,400.4,50.8,80.9,63,4.3,57.5,55.2,N
calvin (1),116.1,217.2,141.7,84.6,78.6,4.4,38.4,30,N
calvin (1),265.4,311.2,273.7,85.5,80.3,4.5,164.3,200.4,N
calvin (1),199.1,274.9,255.2,83.2,78.8,4.4,214.9,258.1,N
calvin (1),132.7,357.2,352.1,83.4,79,4.4,103.4,115.1,N
calvin (1),398.1,401.6,400.3,84.9,80.4,4.5,101.2,117.4,N
calvin (1),232.8,190.2,117.8,83.1,77.9,4.4,66.2,88.2,N
calvin (1),215.7,40.8,-132.6,81.9,76.7,4.3,81.9,134.9,N
calvin (1),215.5,516.4,183.2,73.9,56.2,3.9,30.8,49.4,N
calvin (1),115.9,346.5,311.4,81.7,78,4.4,11.5,19.9,N
calvin (1),99.5,536.2,412.9,81.3,71.7,4.5,263.5,650.6,N
calvin (1),116.2,265.9,191.9,79.7,77.9,4.3,13.8,17.3,N
calvin (1),564,303.2,240.1,79.2,77.7,4.3,22.7,34.7,N
calvin (1),166,119.9,26.5,79.6,75.3,4.2,71.3,94.8,N
calvin (1),381.7,-2.3,-372.7,82.5,73.7,4.5,132.7,228.4,N
calvin (1),100,266.5,-67.3,82.5,67.3,4.4,40.1,66.4,N
calvin (1),82.9,77.4,-187.9,84,76,4.5,10.5,17.2,N
calvin (1),115.9,13,-304.5,84.6,76.1,4.6,30.5,52.4,N
calvin (1),199.1,-70.2,-458,84.4,76,4.6,64.4,123.6,N
calvin (1),116.3,-67.4,-459.3,83.7,75.9,4.5,45.1,94.2,N
calvin (1),249.4,252.5,220.8,81.2,78.8,4.4,261.1,396.6,N
calvin (1),149.7,346.6,312,81.4,78.5,4.4,19.2,38.3,N
calvin (1),331.7,407.2,449.1,79.8,78.4,4.3,18.6,54.2,N
calvin (1),116.1,145,41.9,80.3,76.4,4.2,42.2,56.2,N
calvin (1),82.8,424.8,489.7,77,74.8,4.1,7.8,57,N
calvin (1),182.4,1158.5,3629,80.5,71.5,4.4,287.1,517.4,N
calvin (1),83,921.1,3228,83,74.6,4.7,18.5,29.7,N
calvin (1),448.2,273.9,259.3,85.4,83.6,4.5,93.6,179.8,N
calvin (1),99.9,248.6,2664.4,80.2,62,4.4,59.9,26.7,N
calvin (1),282.6,283.2,219,81.7,78.4,4.4,161.7,244.8,N
calvin (1),215.5,323.3,245.5,81.2,76.8,4.3,23.9,35.3,N
calvin (1),116.1,337.7,265.9,78.4,74.3,4.1,24.4,37.6,N
calvin (1),199.1,81.2,-62.2,76.6,72.1,4.1,80.2,113.3,N
calvin (1),82.8,237.6,146.9,78.8,74.8,4.2,4.8,6,N
calvin (1),165.4,443.3,253.8,76.5,66.8,4.1,63.7,76.4,N
calvin (1),99.4,537.6,547.7,81.8,77.3,4.3,9.7,11.4,N
calvin (1),82.7,564.7,1030.9,81.2,71.6,4.3,51.2,191.4,N
calvin (1),116.1,358.9,-22.8,81.6,62.9,4.3,20.2,34.5,N
calvin (1),99.1,-112.8,-419.1,84.3,79,4.6,167.7,287.7,N
calvin (1),332.1,126.8,-24.1,84,79.4,4.5,125,196.4,N
calvin (1),82.9,-2.8,-361.1,81.8,75.2,4.4,25.7,51.1,N
calvin (1),83.1,88.7,-79.3,82,77,4.4,100.9,151.2,N
calvin (1),398.2,140.1,-13.6,82.2,77,4.5,125.8,202.9,N
calvin (1),99.5,361.4,-7.9,76.8,59.7,4.2,32.6,54,N
calvin (1),132.8,513,515,79.6,75.1,4.3,72.7,117.2,N
calvin (1),282.2,390.4,386.1,82.9,79.5,4.4,36.4,54.7,N
calvin (1),83.1,338.6,245.5,86.6,82.2,4.7,174.7,238.2,N
calvin (1),232.8,516.5,570.1,84.9,82.3,4.6,114.1,356.2,N
calvin (1),448.1,519.3,575.1,84.7,82.6,4.6,55.2,175.7,N
calvin (1),149,509,574.7,83.9,82.2,4.6,16.8,32.3,N
calvin (1),298.9,535.4,685.6,83.9,81.8,4.6,47.9,323.4,N
calvin (1),165.6,403.9,2694.4,78.6,86,4.7,336.7,707.7,N
calvin (1),115.8,403.5,218.5,83.6,74.7,4.6,89.1,137.3,N
calvin (1),82.8,239.6,17.3,82.8,74.4,4.5,107.3,172.3,N
calvin (1),1261.5,334.7,300,84,79.7,4.5,180.1,238.9,N
calvin (1),166.2,191.6,92.6,82.7,78.6,4.4,85.8,129.7,N
calvin (1),83.1,613.6,3056.9,84.4,77.6,4.8,210.3,49.4,N
calvin (1),83,1033.7,3441.2,84.8,78,4.8,136.9,201.8,N
calvin (1),149,1498.5,4284.6,85.1,77.4,4.8,268,547.4,N
calvin (1),83.4,1489.4,4269,84.8,76.6,4.7,99.5,206.6,N
calvin (1),199.1,532.3,517.2,85.4,79.5,4.6,64.9,173.3,N
calvin (1),248.5,524,505.9,85.6,80.3,4.6,37.1,93.7,N
calvin (1),299.2,659.6,3005.3,84.8,76.4,4.7,178.7,86.4,N
calvin (1),66.7,-13.7,-67.5,83.8,80,4.2,50.5,70.4,N
calvin (1),132.9,266.4,172.3,85.4,80.1,4.6,74.1,110.8,N
calvin (1),266.1,342.6,243.7,85.3,80.1,4.6,51.6,72.9,N
calvin (1),99.3,431.6,465.1,83.2,79.5,4.4,13.6,100.7,N
calvin (1),99.8,981.6,3362.1,85.8,77.7,4.8,65.7,100.8,N
calvin (1),116.2,91.3,3138,83.9,76,4.7,255.7,148.8,N
calvin (1),231.9,168.1,198.6,87.7,86.4,4.7,43,78.1,N
calvin (1),1178.5,385.5,337.7,87.6,82.7,4.7,186.8,245.3,N
calvin (1),199.1,386.9,348.6,86.6,82.2,4.7,49.4,70,N
calvin (1),232.4,325,273.6,86.3,82.6,4.7,89,120.1,N
calvin (1),166.4,249.9,178.1,85.9,82.6,4.7,67.6,97.7,N
calvin (1),99.6,180.6,69,86.7,82.2,4.7,19.4,28.2,N
calvin (1),116.1,192.4,55.7,86.7,81.7,4.6,72,111.3,N
calvin (1),398.8,433,441.9,85.3,81.6,4.5,61.5,76.7,N
